ID,adsorption_energy,log2(AE)
10497,181.21,7.501518762
10498,50.56,5.659924558
10499,103.34,6.691254979
10500,53.85,5.75087444
10501,127.38,6.992994967
10502,220.67,7.785746699
10503,47.57,5.57198012
10504,152.63,7.253894747
10505,128.92,7.010332283
10506,182.93,7.515147882
10507,175.99,7.459349645
10508,124.81,6.96358972
10509,113.63,6.828199968
10510,161.61,7.336372661
10511,51.22,5.678635348
10512,151.35,7.241744865
10513,160.45,7.325979979
10514,187.73,7.552515407
10515,146.4,7.193771743
10516,183.57,7.520186495
10517,56.06,5.808899839
10518,58.91,5.880440648
10519,50.41,5.655638049
10520,172.41,7.429699645
10521,137.76,7.106013238
10522,192.91,7.591784121
10523,50.74,5.665051614
10524,177.31,7.470130094
10525,167.84,7.390942773
10526,206.01,7.686570559
10527,156.94,7.294069295
10528,169.99,7.409306069
10529,47.25,5.562242424
10530,52.04,5.701549057
10531,149.95,7.228337712
10532,93.77,6.551054528
10533,136.71,7.094974966
10534,49.64,5.63343121
10535,55.6,5.797012978
10536,45.86,5.51916445
10537,193.56,7.596637034
10538,53.87,5.75141016
10539,132.77,7.05278539
10540,45.92,5.521050737
10541,141.68,7.146492307
10542,124.92,6.964860664
10543,80.36,6.328405659
10544,60.03,5.907611763
10545,183.23,7.517511923
10546,141.9,7.148730779
10547,94.71,6.565444856
10548,152.14,7.2492557
10549,149.26,7.221683781
10550,54.99,5.781097381
10551,42.63,5.41379715
10552,149.85,7.227375274
10553,60.29,5.913846824
10554,57.76,5.851998837
10555,136.36,7.091276694
10556,231.64,7.855740592
10557,136.8,7.09592442
10558,180,7.491853096
10559,118.66,6.890689878
10560,227.98,7.832763456
10561,151.79,7.245932938
10562,62.96,5.976363636
10563,125.75,6.97441459
10564,158.64,7.309612772
10565,161.85,7.338513555
10566,136.59,7.093708055
10567,218.92,7.774259951
10568,47.03,5.555509427
10569,46.81,5.54874486
10570,118.53,6.889108442
10571,125.97,6.976936384
10572,91.95,6.52277767
10573,94.57,6.563310692
10574,161.65,7.336729697
10575,100.76,6.654779217
10576,170.77,7.415910742
10577,54.68,5.772941338
10578,135.45,7.081616583
10579,110.3,6.785288981
10580,164.76,7.364222221
10581,117.61,6.877866923
10582,50.59,5.660780334
10583,119.83,6.904845329
10584,116.89,6.869007702
10585,170.53,7.413881753
10586,52.86,5.72410452
10587,106.56,6.735522177
10588,135.24,7.079378111
10589,184.73,7.529274368
10590,52.1,5.703211467
10591,237.86,7.893968869
10592,53.13,5.731454808
10593,331.46,8.372690969
10594,76.96,6.266036894
10595,152.33,7.251056285
10596,60.87,5.927659461
10597,182.93,7.515147882
10598,46.43,5.536985376
10599,93.39,6.545196172
10600,158.07,7.304419775
10601,201.07,7.651554035
10602,59.38,5.891905188
10603,57.06,5.834407842
10604,131.66,7.040673293
10605,167.49,7.387931152
10606,149.09,7.220039684
10607,158.52,7.308521062
10608,140.65,7.135965742
10609,99.11,6.630958725
10610,191.87,7.583985345
10611,83.74,6.387845013
10612,160.39,7.325440385
10613,151.1,7.23935985
10614,184.83,7.530055131
10615,65.68,6.037382222
10616,188.06,7.555049213
10617,196.8,7.62058641
10618,221.63,7.792009369
10619,154.73,7.273609132
10620,43.44,5.440952198
10621,68.27,6.093179847
10622,54.88,5.778208576
10623,144.86,7.17851547
10624,48.76,5.607626221
10625,223.5,7.804131021
10626,187.75,7.552669098
10627,92.8,6.5360529
10628,77.96,6.284662185
10629,58.46,5.869377924
10630,84.7,6.404290064
10631,47.4,5.566815154
10632,52.11,5.70348835
10633,275.7,8.106955457
10634,153.74,7.264348763
10635,171.99,7.426180875
10636,52.25,5.707359132
10637,136.18,7.089371028
10638,139.29,7.121947877
10639,57.65,5.849248703
10640,45.99,5.523248293
10641,42.88,5.422233001
10642,180.11,7.492734474
10643,135.91,7.086507801
10644,155.63,7.281976378
10645,376.07,8.554857414
10646,161.45,7.334943631
10647,120.91,6.917789759
10648,178.37,7.478729179
10649,128.82,7.009212787
10650,172.22,7.428108883
10651,121.87,6.92919922
10652,175.28,7.453517579
10653,58.35,5.866660751
10654,196.62,7.619266268
10655,46.88,5.550900665
10656,58.34,5.866413481
10657,200.06,7.644288933
10658,154.11,7.267816669
10659,143.93,7.169223521
10660,291.47,8.187203589
10661,56.25,5.813781191
10662,124.02,6.954428984
10663,163.7,7.354910512
10664,184.29,7.525833979
10665,48.43,5.597829098
10666,138.52,7.113950482
10667,162.79,7.346868269
10668,140.3,7.132371199
10669,169.5,7.405141463
10670,48.84,5.609991295
10671,214.94,7.747790181
10672,128.62,7.006971184
10673,125.43,6.970738639
10674,58.61,5.873074932
10675,44.06,5.46139759
10676,111.86,6.805550425
10677,48.59,5.602587527
10678,229.88,7.844737144
10679,202.18,7.65949648
10680,164.02,7.357727932
10681,69.04,6.109360559
10682,55.75,5.8008999
10683,162.57,7.344917243
10684,62.34,5.96208625
10685,52.17,5.705148528
10686,194.4,7.602884409
10687,106.22,6.730911624
10688,164.49,7.361856069
10689,62.01,5.954428984
10690,152.63,7.253894747
10691,134.79,7.074569657
10692,51.62,5.689858236
10693,210.38,7.71685375
10694,171.68,7.423578171
10695,53.18,5.732811872
10696,56.87,5.829595899
10697,97.19,6.602735976
10698,245.29,7.938344609
10699,43.31,5.436628267
10700,169.43,7.404545537
10701,133.41,7.059723
10702,224.64,7.811471031
10703,135.91,7.086507801
10704,143.09,7.160779041
10705,113.06,6.820944792
10706,171.04,7.418189948
10707,195.39,7.610212822
10708,132.48,7.049630768
10709,74.69,6.222843193
10710,45.03,5.492814573
10711,178.22,7.477515436
10712,52.39,5.711219557
10713,144.72,7.177120503
10714,340.01,8.409433368
10715,130.76,7.030777472
10716,80.03,6.322469004
10717,56.16,5.811471031
10718,116.25,6.861086906
10719,99.17,6.631831851
10720,148.66,7.215872703
10721,136.11,7.088629255
10722,168.62,7.397631854
10723,136.33,7.090959258
10724,271.21,8.083266564
10725,144.08,7.170726276
10726,176.45,7.46311562
10727,164.03,7.357815888
10728,53.6,5.744161096
10729,61.59,5.944624223
10730,53.91,5.752481004
10731,129.47,7.016474034
10732,156.01,7.285494696
10733,123.56,6.949067966
10734,59.86,5.903520374
10735,158.26,7.306152852
10736,221.32,7.789990019
10737,61.16,5.934516502
10738,166.84,7.382321407
10739,162.5,7.344295908
10740,151.49,7.243078753
10741,173.96,7.442611804
10742,41.43,5.372603915
10743,145.83,7.18814373
10744,158.68,7.309976492
10745,131.25,7.036173613
10746,220.54,7.784896535
10747,90.85,6.505414609
10748,123.66,6.9502351
10749,66.7,6.059614856
10750,58.85,5.87897051
10751,148.96,7.218781168
10752,132.2,7.046578367
10753,92.16,6.526068812
10754,133.48,7.060479781
10755,83.28,6.379898164
10756,164.57,7.362557556
10757,102.27,6.676239195
10758,91.52,6.516015147
10759,144.77,7.17761886
10760,154.14,7.268097486
10761,196.34,7.61721031
10762,51.22,5.678635348
10763,133.35,7.059074015
10764,180.07,7.492414035
10765,146.4,7.193771743
10766,116.26,6.861211003
10767,118.04,6.883132016
10768,137.85,7.106955457
10769,93.91,6.553206886
10770,151.33,7.241554209
10771,64.65,6.014578465
10772,149.2,7.221103725
10773,232.01,7.858043179
10774,87.31,6.448074996
10775,250.9,7.970968661
10776,53.93,5.753016129
10777,128.49,7.005512273
10778,145.93,7.18913269
10779,49.57,5.631395354
10780,135.42,7.081297014
10781,120,6.906890596
10782,128.47,7.005287694
10783,43.33,5.437294331
10784,118.33,6.886672074
10785,232.97,7.864000378
10786,148.91,7.218296831
10787,105.04,6.714795011
10788,119.4,6.899659026
10789,218.98,7.774655301
10790,60.36,5.915520901
10791,117.97,6.882276216
10792,102.98,6.686220365
10793,138.66,7.115407855
10794,57.21,5.838195439
10795,228.01,7.832953289
10796,124.19,6.9564052
10797,149.74,7.226315849
10798,135.88,7.086189313
10799,117.42,6.875534352
10800,161.27,7.333334278
10801,262.49,8.036118652
10802,165.27,7.368681059
10803,153,7.257387843
10804,103.15,6.688600011
10805,60.65,5.92243574
10806,45.82,5.517905554
10807,51.58,5.688739868
10808,60.57,5.920531506
10809,112.26,6.810700154
10810,57.17,5.837186385
10811,174.03,7.443192215
10812,156.07,7.286049437
10813,171.35,7.420802382
10814,90.59,6.501279899
10815,55.81,5.802451741
10816,131,7.033423002
10817,61.09,5.932864335
10818,149.37,7.222746611
10819,51.57,5.68846014
10820,112.46,6.813268142
10821,155.81,7.283644019
10822,128.1,7.001126665
10823,121.15,6.920650595
10824,49.72,5.635754391
10825,144.24,7.172327492
10826,61,5.930737338
10827,179.95,7.491452292
10828,85.33,6.414981143
10829,108.5,6.761551232
10830,225.46,7.81672769
10831,217.36,7.76394266
10832,138.03,7.108838052
10833,113.62,6.828072998
10834,75.28,6.234194723
10835,104.33,6.705010253
10836,48.19,5.590661896
10837,179.36,7.486714373
10838,67.44,6.075532631
10839,76.3,6.253611152
10840,158.1,7.304693557
10841,119.3,6.898450233
10842,90.06,6.492814573
10843,138.69,7.115719958
10844,107.3,6.745506266
10845,197.65,7.626804145
10846,115.12,6.846994687
10847,157.56,7.299757512
10848,92.71,6.534653056
10849,162.25,7.342074668
10850,120.18,6.909053017
10851,114.38,6.837691
10852,58.52,5.870857864
10853,142.08,7.150559677
10854,131.16,7.035183997
10855,114.89,6.844109421
10856,43.02,5.42693562
10857,67.57,6.07831095
10858,177.86,7.474598281
10859,172.66,7.431790083
10860,573.96,9.164806387
10861,198.3,7.631540867
10862,53.22,5.733896605
10863,52.55,5.715618859
10864,140.48,7.13422094
10865,168.32,7.3950628
10866,42.37,5.404971224
10867,41.81,5.385776138
10868,150.05,7.229299509
10869,65.54,6.034303768
10870,155.25,7.278449458
10871,226.32,7.822220272
10872,55.16,5.785550552
10873,44.83,5.486392594
10874,113.63,6.828199968
10875,143.88,7.168722254
10876,153.67,7.263691734
10877,48.1,5.587964989
10878,196.79,7.620513101
10879,87.94,6.458447627
10880,118.05,6.883254231
10881,87.03,6.443440891
10882,129.16,7.013015536
10883,97.69,6.610138984
10884,149.06,7.219749355
10885,52.46,5.713145902
10886,50.7,5.663913842
10887,98.91,6.628044483
10888,222.86,7.799993888
10889,145.47,7.184577849
10890,178.99,7.483735178
10891,44.88,5.488000771
10892,152.29,7.250677401
10893,115.91,6.856861228
10894,91.22,6.511278265
10895,139.02,7.11914864
10896,147.77,7.207209596
10897,55.95,5.806066226
10898,134.84,7.075104722
10899,150.21,7.230837051
10900,157.83,7.302227646
10901,94.52,6.562547724
10902,144.08,7.170726276
10903,44.2,5.465974465
10904,51.35,5.682292371
10905,54.36,5.764473551
10906,191.9,7.584210901
10907,49.15,5.619119511
10908,40.41,5.336640446
10909,125.96,6.976821852
10910,172.03,7.426516366
10911,55.08,5.783456654
10912,143.58,7.165710992
10913,40.1,5.325530332
10914,160.77,7.328854412
10915,174.28,7.445263208
10916,97,6.599912842
10917,156.41,7.289188943
10918,145.56,7.185470146
10919,106.21,6.730775797
10920,165.3,7.368942914
10921,156.23,7.287527703
10922,47.81,5.579240501
10923,115.5,6.851749041
10924,54.57,5.770036139
10925,173.67,7.440204752
10926,107.78,6.751945682
10927,142.14,7.151168794
10928,212.1,7.728600811
10929,113.03,6.820561928
10930,189.32,7.564683017
10931,156.28,7.28798935
10932,142.88,7.158660175
10933,127,6.988684687
10934,128.38,7.004276656
10935,117.32,6.874305166
10936,81.68,6.351910961
10937,220.73,7.786138913
10938,135.68,7.084064265
10939,154.36,7.270155139
10940,119.98,6.906650126
10941,104.24,6.703765179
10942,181.3,7.502235115
10943,124.65,6.961739073
10944,124.31,6.957798547
10945,37.13,5.21451341
10946,219.64,7.778997006
10947,164.24,7.359661722
10948,332.73,8.37820814
10949,81.78,6.353676158
10950,78.51,6.29480452
10951,54.92,5.77925972
10952,46.53,5.540089282
10953,145.38,7.183685
10954,57.11,5.835671479
10955,97.78,6.6114675
10956,47.42,5.567423758
10957,102.44,6.678635348
10958,61.93,5.952566541
10959,53,5.727920455
10960,193.98,7.599764103
10961,205.43,7.682503071
10962,50.83,5.667608326
10963,57.97,5.85723458
10964,42.93,5.423914268
10965,128.62,7.006971184
10966,207.65,7.698010062
10967,53.83,5.75033852
10968,144.18,7.171727244
10969,49.79,5.63778411
10970,165.29,7.368855634
10971,191.82,7.58360934
10972,147.03,7.199966742
10973,230.34,7.847621156
10974,203.3,7.667466405
10975,190.51,7.573722918
10976,135.48,7.081936082
10977,93.78,6.551208374
10978,129.64,7.018367116
10979,52.19,5.705701497
10980,232.8,7.862947248
10981,136.85,7.096451624
10982,45,5.491853096
10983,48.05,5.586464526
10984,159.75,7.319672121
10985,147.08,7.200457271
10986,130.54,7.028348134
10987,45.1,5.495055528
10988,134.8,7.074676686
10989,130.19,7.024474828
10990,207.53,7.697176094
10991,105.94,6.727103604
10992,217.28,7.763411574
10993,150.32,7.231893162
10994,89.38,6.48188014
10995,45.49,5.50747753
10996,155.38,7.279657007
10997,52.5,5.714245518
10998,168.72,7.39848719
10999,165.48,7.370513052
11000,49.49,5.629065137
11001,195.24,7.609104847
11002,61.91,5.952100554
11003,109.79,6.778602845
11004,107.52,6.748461233
11005,121.04,6.919340082
11006,66.34,6.051807107
11007,50.39,5.655065551
11008,164.78,7.364397337
11009,118.73,6.891540703
11010,144.65,7.176422513
11011,57.07,5.834660658
11012,238.37,7.897058867
11013,177.89,7.474841602
11014,47.15,5.559185866
11015,192.9,7.591709333
11016,49.18,5.61999983
11017,167.4,7.387155718
11018,109.78,6.778471434
11019,109.6,6.776103988
11020,203.53,7.669097651
11021,42.98,5.425593578
11022,175.82,7.45795538
11023,54.58,5.770300489
11024,48.05,5.586464526
11025,54.42,5.766065051
11026,174.13,7.444020969
11027,149.93,7.228145276
11028,68.4,6.09592442
11029,49.01,5.615004242
11030,172.55,7.430870664
11031,128.75,7.008428622
11032,201.31,7.653275029
11033,141.32,7.142821844
11034,52.35,5.710117632
11035,118.55,6.889351853
11036,245.25,7.938109326
11037,177.33,7.470292816
11038,198.35,7.631904587
11039,162.61,7.345272171
11040,142.65,7.156335937
11041,141.7,7.146695948
11042,114.48,6.838951767
11043,110.28,6.785027362
11044,134.49,7.071355095
11045,116.87,6.868760834
11046,173.98,7.442777659
11047,52.43,5.712320641
11048,165.92,7.374343989
11049,45.69,5.513806537
11050,113.87,6.831243897
11051,125.91,6.976249059
11052,169.56,7.405652061
11053,62.15,5.957682486
11054,143.68,7.166715445
11055,53.7,5.746850183
11056,55.68,5.799087306
11057,146.33,7.193081765
11058,167.91,7.391544343
11059,111.33,6.798698597
11060,58.25,5.864186145
11061,110.07,6.7822775
11062,103.44,6.69265037
11063,178.97,7.483573965
11064,105.25,6.717676423
11065,151.53,7.243459637
11066,150.61,7.234673753
11067,123.9,6.953032377
11068,50.82,5.66732447
11069,119.86,6.905206469
11070,52.65,5.718361626
11071,51.01,5.672708196
11072,87.38,6.449231201
11073,126.8,6.986410935
11074,55.71,5.799864411
11075,90.17,6.494575617
11076,115.27,6.848873278
11077,127.68,6.996388746
11078,152.67,7.254272787
11079,222.25,7.796039609
11080,52.89,5.72492307
11081,240.12,7.907611763
11082,128.96,7.010779839
11083,137.37,7.101923161
11084,173.2,7.43629512
11085,72.95,6.188836073
11086,167.82,7.390770849
11087,51.82,5.69543711
11088,60.28,5.913607512
11089,45.41,5.504938132
11090,96.25,6.588714636
11091,117.94,6.881909289
11092,43.84,5.454175893
11093,169.57,7.405737143
11094,130.57,7.028679649
11095,206.27,7.6883902
11096,259.41,8.019090285
11097,164.8,7.364572432
11098,126.05,6.977852308
11099,51.02,5.672990994
11100,211.28,7.723012396
11101,125.74,6.974299858
11102,135.36,7.080657663
11103,109.32,6.772413555
11104,41.47,5.373996142
11105,161.49,7.335301021
11106,128.01,7.000112706
11107,126.92,6.987775616
11108,166.97,7.383445102
11109,236.89,7.888073488
11110,112.69,6.816215688
11111,216.41,7.757623355
11112,163.42,7.352440747
11113,156.58,7.290756138
11114,127.54,6.994805976
11115,109.29,6.772017591
11116,48.16,5.589763487
11117,51.08,5.67468662
11118,104.79,6.711357238
11119,148.72,7.216454865
11120,144.64,7.176322773
11121,214.71,7.746245575
11122,192.27,7.586989865
11123,109.77,6.778340011
11124,52.5,5.714245518
11125,183.09,7.516409186
11126,372.78,8.54218065
11127,126.47,6.982651393
11128,265.05,8.05012073
11129,75.87,6.245457633
11130,343.58,8.424502249
11131,190.15,7.570994129
11132,198.89,7.63582693
11133,121.52,6.925049965
11134,142.33,7.153095972
11135,158.55,7.308794067
11136,140.13,7.130622041
11137,42.94,5.424250286
11138,191.11,7.57825946
11139,197.03,7.622271502
11140,214.86,7.747253114
11141,45.25,5.499845887
11142,154.62,7.272583133
11143,109.89,6.779916297
11144,128.95,7.010667963
11145,168.81,7.399256559
11146,169.66,7.406502657
11147,177.65,7.472893878
11148,196.09,7.615372154
11149,143.32,7.163096138
11150,179.18,7.485265803
11151,51.6,5.689299161
11152,176.54,7.463851293
11153,150.82,7.236683945
11154,117.16,6.872336288
11155,302.3,8.239837169
11156,123.86,6.952566541
11157,54.1,5.757556689
11158,166.42,7.378685014
11159,180.84,7.498570013
11160,246.02,7.942631793
11161,104.16,6.702657543
11162,108.24,6.758089934
11163,134.23,7.068563335
11164,58.89,5.879950768
11165,46.9,5.551516018
11166,48.12,5.588564737
11167,56.98,5.832383717
11168,180.39,7.494975554
